々	(kép)
〆	(mê)
一	NHẤT
丁	ĐINH
七	THẤT
万	VẠN
丈	TRƯỢNG
三	TAM
上	THƯỢNG
下	HẠ
不	BẤT
与	DỰ/DỮ
丐	CÁI
丑	SỬU
且	THẢ
丕	PHI
世	THẾ
丘	KHÂU/KHƯU
丙	BÍNH
丞	THỪA
両	LƯỠNG/LƯỢNG
並	TỊNH
个	CÁ
中	TRUNG
丱	QUÁN
串	QUÁN/XUYẾN
丶	CHỦ
丸	HOÀN
丹	ĐAN/ĐƠN
主	CHỦ
丿	PHIỆT
乂	NGHỆ
乃	NÃI/ÁI
久	CỬU
之	CHI
乍	SẠ/TÁC
乎	HỒ
乏	PHẠP
乖	QUAI
乗	THỪA
乘	THỪA
乙	ẤT
九	CỬU
乞	KHẤT
也	DÃ
乱	LOẠN
乳	NHŨ
乾	CAN/CÀN/KIỀN
亀	QUY/QUI
亂	LOẠN
亅	QUYẾT
了	LIỄU
予	DỰ
争	TRANH
事	SỰ
二	NHỊ
于	VU
云	VÂN
互	HỖ
五	NGŨ
井	TỈNH
亘	TUYÊN
亙	HẰNG
些	TA
亜	Á
亞	Á
亟	CỨC
亠	ĐẦU
亡	VONG/VÔ
亢	CANG
交	GIAO
亥	HỢI
亦	DIỆC
亨	HANH/HƯỞNG
享	HƯỞNG
京	KINH
亭	ĐÌNH
亮	LƯỢNG
亳	BẠC
亶	ĐÀN
人	NHÂN
什	THẬP
仁	NHÂN
仄	TRẮC
仆	PHÓ/BỘC
仇	CỪU
今	KIM
介	GIỚI
仍	NHƯNG
从	TÙNG/TÒNG
仏	PHẬT
仔	TỂ
仕	SĨ
他	THA
仗	TRƯỢNG
付	PHÓ
仙	TIÊN
仞	NHẬN
仟	THIÊN
代	ĐẠI
令	LỆNH
以	DĨ
仭	NHẬN
仮	GIẢ
仰	NGƯỠNG
仲	TRỌNG
件	KIỆN
价	GIÁ
任	NHIỆM
企	XÍ
伉	KHÁNG
伊	Y
伍	NGŨ
伎	KỸ
伏	PHỤC
伐	PHẠT
休	HƯU
会	HỘI
伜	THỐI/TỐT
伝	TRUYỀN
伯	BÁ
估	CÔ
伴	BẠN
伶	LINH
伸	THÂN
伺	TỶ/TỨ
似	TỰ
伽	GIÀ/GIA
佃	ĐIỀN
但	ĐẢN
佇	TRỮ
位	VỊ
低	ĐÊ
住	TRÚ/TRỤ
佐	TÁ
佑	HỮU
体	THỂ
何	HÀ
佗	ĐÀ
余	DƯ
佚	DẬT
佛	PHẬT
作	TÁC
佝	CÂU
佞	NỊNH
佩	BỘI
佯	DƯƠNG
佰	BÁCH
佳	GIAI
併	TÍNH
佶	CÁT
佻	ĐIÊU
佼	HIỆU
使	SỬ/SỨ
侃	KHẢN
來	LAI
侈	XỈ
例	LIỆT
侍	THỊ
侏	CHU/CHÂU
侑	HỰU
侖	LUÂN
侘	SÁ
供	CUNG
依	Ỷ/Y
侠	HIỆP
価	GIÁ
侫	NỊNH
侭	TẬN
侮	VŨ/VỤ
侯	HẦU
侵	XÂM
侶	LỮ
便	TIỆN
係	HỆ
促	XÚC
俄	NGA
俊	TUẤN
俎	TỔ
俐	LỢI
俑	DŨNG
俔	KIẾN
俗	TỤC
俘	PHÙ
俚	LÝ
俛	MIỄN
保	BẢO
俟	SĨ
信	TÍN
俤	(đệ)
俥	XA
修	TU
俯	PHỦ
俳	BÀI
俵	BIẾU
俶	THỤC
俸	BỔNG
俺	YÊM
俾	TỶ/TỈ
倅	THỐI/TỐT
倆	LƯỠNG
倉	THƯƠNG
個	CÁ
倍	BỘI
們	MÔN
